학정번호,구분,과목명,학점,담당교수,여석,강의시간,학부,학과
0000-1-8128-01,교필,광운인되기,1,김정권,72,X,공통,공통
7000-1-3362-01,교필,대학영어,3,에이미,99,월1수2,전자정보공과대학,공통
7000-1-3362-02,교필,대학영어,3,신동선,35,월2수1,전자정보공과대학,공통
7000-1-3362-03,교필,대학영어,3,김은주,23,월3,전자정보공과대학,공통
7000-1-3362-04,교필,대학영어,3,고현아,36,월4수3,전자정보공과대학,공통
7000-1-3362-05,교필,대학영어,3,손영희,66,월5수6,전자정보공과대학,공통
7000-1-3362-06,교필,대학영어,3,최정윤,42,월6,전자정보공과대학,공통
7000-1-3362-07,교필,대학영어,3,조윤주,43,목2,전자정보공과대학,공통
7000-1-3362-08,교필,대학영어,3,에이미,70,화2목1,전자정보공과대학,공통
7000-1-3362-09,교필,대학영어,3,신승한,71,화3목4,전자정보공과대학,공통
7000-1-3362-10,교필,대학영어,3,브라질,48,화4목3,전자정보공과대학,공통
7000-1-3362-11,교필,대학영어,3,이가영,24,화5,전자정보공과대학,공통
7000-1-3362-12,교필,대학영어,3,강희원,84,화6목5,전자정보공과대학,공통
7000-1-3362-13,교필,대학영어,3,이지혜,25,금1금2,전자정보공과대학,공통
7000-1-3362-14,교필,대학영어,3,김보식,55,금3금4,전자정보공과대학,공통
7000-1-3362-15,교필,대학영어,3,김연정,35,금5금6,전자정보공과대학,공통
7000-1-3362-16,교필,대학영어,3,김지희,37,월3수4,전자정보공과대학,공통
7000-1-3362-17,교필,대학영어,3,오경애,73,월4수3,전자정보공과대학,공통
6000-1-3362-01,교필,대학영어,3,정관희,64,월6수5,자연과학대학,공통
6000-1-3362-02,교필,대학영어,3,오경애,48,화4목3,자연과학대학,공통
6000-1-3362-03,교필,대학영어,3,이종국,49,화5목6,자연과학대학,공통
6000-1-3362-04,교필,대학영어,3,목승혜,16,금1금2,자연과학대학,공통
6000-1-3362-05,교필,대학영어,3,김민경,11,금3금4,자연과학대학,공통
6000-1-3362-06,교필,대학영어,3,조성은,35,금5금6,자연과학대학,공통
F000-1-3362-01,교필,대학영어,3,윤정용,53,월4수3,정책법학대학,공통
